Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_Suma,Trimestre_Año
2022,3,1395277,6031970,2871541,55711,23523,10378022,2022 3
2022,2,1468333,5979214,2723285,5562430,2316090,18049352,2022 2
2022,1,1533240,6073426,2219533,5458140,2519960,17804299,2022 1
2021,4,1657615,5984240,2072236,5231070,2525960,17471121,2021 4
2021,3,1950631,5826257,1566048,4924150,25019,14292105,2021 3
2021,2,2018587,5641731,1472246,4769680,2535520,16437764,2021 2
2021,1,2175211,5424782,1362976,4345480,2504550,15812999,2021 1
2020,4,2213949,5371824,1311199,4215540,2530360,15642872,2020 4
2020,3,2263889,5259351,1170879,4132590,2488210,15314919,2020 3
2020,2,2295533,5005115,1106725,3766670,2470160,14644203,2020 2
2020,1,2299457,4903674,1047817,3523330,2091450,13865728,2020 1
2019,4,2414575,4883869,941295,3401440,2132980,13774159,2019 4
2019,3,2909805,4800091,852221,3382410,2643260,14587787,2019 3
2019,2,2990457,4635575,760794,3080270,2653280,14120376,2019 2
2019,1,3132789,4435439,637099,2764190,1663890,12633407,2019 1
2018,4,3329027,4313831,388013,2642990,1784850,12458711,2018 4
2018,3,3521447,4238171,247366,2461810,938700,11407494,2018 3
2018,2,3557216,4038141,226285,1942670,945350,10709662,2018 2
2018,1,3574294,3981129,217460,1653000,988700,10414583,2018 1
2017,4,3584311,3818157,211425,1557750,1005540,10177183,2017 4
2017,3,3622575,3670221,193964,1064430,1317400,9868590,2017 3
2017,2,3723518,3383434,180777,858130,561220,8707079,2017 2
2017,1,3708898,3276251,180146,848130,557460,8570885,2017 1
2016,4,3722794,3210602,178070,851190,550880,8513536,2016 4
2016,3,3776442,3124855,169898,814550,543000,8428745,2016 3
2016,2,3782085,3035272,167788,854520,594820,8434485,2016 2
2016,1,3792493,2806359,164371,853700,587630,8204553,2016 1
2015,4,3803024,2898226,139187,857260,586680,8284377,2015 4
2015,3,3788696,2840203,162663,845300,589760,8226622,2015 3
2015,2,3767821,2756294,150839,820770,591570,8087294,2015 2
2015,1,3756153,2668248,168188,790980,660450,8044019,2015 1
2014,4,3764038,2536219,149682,769840,715730,7935509,2014 4
2014,3,3714764,2569868,155494,850960,700490,7991576,2014 3
2014,2,3708882,2461670,149363,724050,721480,7765445,2014 2
2014,1,3697066,2407330,150323,707490,729300,7691509,2014 1
